Transaction ID,Customer ID,Internal ID,Original Internal ID,Obligor Name,City,Country,Zip Code,Industry Code,Industry Code Type,Obligor Internal Risk Rating,TIN,Stock Exchange,Ticker Symbol,CUSIP,Internal Credit Facility ID,Original Internal Credit Facility ID,Origination Date,Maturity Date,Credit Facility Type,Credit Facility Purpose,Committed Exposure Global,Utilized Exposure Global
TXN758385,8CPQ6TFBR6,SH59L699N6,QJR793Z9V0,Company 686,City 64,DE,89677,357338,2,B,65-4496469,NYSE,AAPL,L5HSFV,KFX6ZED6AS99,S0CADW642JC5,2015-06-26,2035-03-23,18,3,13034862,28684113
TXN989067,0CU8K0XT3W,QU2ERIKL38,6FMYW4WGJU,Company 549,City 61,UK,17899,685707,2,A,84-6203329,LSE,MSFT,KF3912,KZZE8FM3Y21J,2LEIBFGDIXYU,2011-04-18,2035-05-06,8,11,37461222,18519093
TXN140772,PK3PUQSP70,7PFPIGPNWL,K8WR3DV4WZ,Company 829,City 55,FR,88350,761373,1,C,47-5899250,NYSE,,88P9ZR,D9XOTJCRW5GB,CMOCK62QO6WM,2022-03-18,2030-06-01,13,8,43697459,20422158
TXN811765,G8SES08SYD,BP1AWU6QJO,4P2NC4GS4U,Company 510,City 12,FR,65589,264737,3,B,,NYSE,GOOGL,7DCVI3,K4U1L16LQ0WD,FAZWWHRERBJ5,2011-11-28,2026-02-16,15,12,4401042,49182428
TXN588408,QUL5ENSSFR,VLOQ266LAG,H6FGYQXRSJ,Company 949,City 38,US,60462,481864,1,B,46-7412850,NASDAQ,GOOGL,I679ZJ,NMJRQWJORMS2,A2GYPLZZ9VTN,2017-08-15,2039-08-11,18,13,11235053,13003082
TXN904106,KTOPT8MDPJ,35KBRVHK2F,4DGW1ALL8Z,Company 480,City 31,DE,15222,847392,1,B+,40-9041796,NYSE,MSFT,RORFLI,I5TMHE77P0RG,XZXXIJGJQRXA,2017-08-05,2030-01-17,1,19,27885169,41213402
TXN745660,RT6UX9Z2B1,W287BZ1Z0K,FT861PNFEX,Company 918,City 60,DE,31174,883421,1,B+,,NASDAQ,AAPL,9HDL33,L4LRQFJZRD1C,IPQTQQUP4JVW,2011-11-03,2028-12-25,19,11,25753762,17074327
TXN760722,XQQ7XH6T8H,DVQ0JVVLTR,45481T9DF8,Company 265,City 38,CA,51126,496858,3,B,,NASDAQ,AAPL,3Y5QGN,ZNQ08X35CKE9,U0J1FO73998U,2013-05-27,2031-05-30,9,4,38071955,20628440
TXN650441,IH850EUCHI,J8WSJ1W2EK,V286XGVSW9,Company 424,City 43,DE,54553,774532,2,A+,,NASDAQ,GOOGL,6BPNNX,TBHD0GD12WVB,S3NN3T8GNNYS,2025-04-10,2035-04-30,8,0,10743945,3357442
TXN334432,XHQH8S1KQE,E3M2VN6H9A,5TF53700ZU,Company 763,City 36,CA,60438,626560,3,C,12-8813072,LSE,,PXBLM2,XSF6P942YAXL,KQF6O0FSZC3P,2016-01-11,2036-06-30,2,9,44688313,40447393
